Company_Brand,Founded,HeadQuarter,Sector,What_it_does,Founders,Investor,Amount,Stage,Fund_Year,Category
Thecollegefever,2017,Bangalore,brand marketing event promotion marketing sponsorship ticketing,"thecollegefever is a hub for fun, fiesta and frolic of colleges.",Unknown,Undisclosed,250000.0,Seed,2018,technology
Happy Cow Dairy,2017,Mumbai,agriculture farming,a startup which aggregates milk from dairy farmers in rural maharashtra.,Unknown,Undisclosed,40000000.0,Seed,2018,technology
Myloancare,2017,Gurgaon,credit financial services lending marketplace,leading online loans marketplace in india,Unknown,Undisclosed,65000000.0,Series A,2018,technology
Payme India,2017,Noida,financial services fintech,payme india is an innovative fintech organization which offers short term financial suport to corporate employees.,Unknown,Undisclosed,2000000.0,Pre-Seed,2018,technology
Eunimart,2017,Hyderabad,ecommerce platforms retail saas,eunimart is a one stop solution for merchants to create a difference by selling globally.,Unknown,Undisclosed,0.0,Seed,2018,technology
Hasura,2017,Bangalore,software as a service,"hasura is a platform that allows developers to build, deploy, and host cloud-native applications quickly.",Unknown,Undisclosed,1600000.0,Seed,2018,technology
Tripshelf,2017,Kalkaji,internet leisure marketplace,tripshelf is an online market place for holiday packages.,Unknown,Undisclosed,16000000.0,Seed,2018,technology
Hyperdata.Io,2017,Hyderabad,market research,hyperdata combines advanced machine learning with human intelligence.,Unknown,Undisclosed,50000000.0,Pre-Seed,2018,technology
Freightwalla,2017,Mumbai,information services information technology,freightwalla is an international forwarder thats helps you manage supply chain by providing online tools including instant quotations.,Unknown,Undisclosed,0.0,Seed,2018,technology
Microchip Payments,2017,Bangalore,mobile payments,microchip payments is a mobile-based payment application and point-of-sale device,Unknown,Undisclosed,0.0,Seed,2018,technology
Bizcrum Infotech Pvt. Ltd.,2017,Delhi,b2b shoes,building transactionary b2b marketplaces,Unknown,Undisclosed,0.0,Seed,2018,business services
Emojifi,2017,Bangalore,internet,"emojifi is an app that provides live emoji, stickers & gifs suggestions based on the typed words across chat platforms.",Unknown,Undisclosed,0.0,Seed,2018,technology
Flock,2017,India,apps collaboration developer platform enterprise software messaging productivity tools video chat,flock is a real-time messaging and collaboration app for teams that speeds up and simplifies communication and boosts productivity.,Unknown,Undisclosed,0.0,Seed,2018,technology
Freshboxx,2017,Hubli,food delivery,"freshboxx is incubated at sandbox startups, a unit of the deshpande foundation.",Unknown,Undisclosed,0.0,Seed,2018,food and beverages
Wide Mobility Mechatronics,2017,Bangalore,industrial automation,wide mobility mechatronics is a private company limited by shares,Unknown,Undisclosed,0.0,Seed,2018,technology
Pitstop,2017,Bangalore,automotive search engine service industry,pitstop offers general repair and maintenance services for cars through its doorstep service vehicles.,Unknown,Undisclosed,100000000.0,Seed,2018,technology
Mihuru,2017,Mumbai,finance internet travel,mihuru is an online platform which gives micro loans for air travel .,Unknown,Undisclosed,150000.0,Seed,2018,technology
Fyle,2017,Bangalore,accounting business information systems business travel finance saas,fyle is an intelligent expense management platform for enterprises.,Unknown,Undisclosed,1100000.0,Seed,2018,technology
Appwharf,2017,New Delhi,artificial intelligence product search saas service industry software,appwharf is an intelligent assistant that helps find you the best-fit saas for your business.,Unknown,Undisclosed,0.0,Seed,2018,technology
Antariksh Waste Ventures Pvt Ltd,2017,Chennai,internet of things waste management,waste management for smart cities,Unknown,Undisclosed,500000.0,Seed,2018,technology
Cogoport,2017,Mumbai,air transportation freight service logistics marine transportation,cogoport is a platform that provides freight buying industry with spot rates and bidding process for freight buyers.,Unknown,Undisclosed,6000000.0,Series A,2018,technology
Paisadukan,2017,Mumbai,financial services,a p2p lending marketplace platform,Unknown,Undisclosed,650000.0,Seed,2018,fintech
Sleepy Owl Coffee,2017,New Delhi,food and beverage,"makers of a signature coffee that's exceptional in taste. it's super easy to brew, requires no equipment & ships to your door.",Unknown,Undisclosed,35000000.0,Seed,2018,food and beverages
Bluejack,2017,Delhi,autonomous vehicles,delhi-based online used vehicles marketplace.,Unknown,Undisclosed,64000000.0,Seed,2018,mobility and transportation
Pregbuddy,2017,Bangalore,enterprise software health care hospital parenting personal health saas,pregbuddy is a smart connected care platform for expecting mothers.,Unknown,Undisclosed,0.0,Seed,2018,technology
Agnext Technologies,2017,Mohali,agriculture analytics big data farming,agnext is an agricultural sensing and solutions company focused on building data-driven solutions for agricultural stakeholders,Unknown,Undisclosed,0.0,Series A,2018,technology
Pando,2017,Chennai,logistics supply chain management,a startup which digitizes logistics operations for fortune 500 companies.,Unknown,Undisclosed,2000000.0,Seed,2018,technology
Mintifi,2017,Mumbai,financial services lending,online lending startup based in mumbai.,Unknown,Undisclosed,2000000.0,Seed,2018,fintech
Carcrew,2017,Mumbai,automotive marketplace online portals,india's online auto repair marketplace,Unknown,Undisclosed,2000000.0,Seed,2018,technology
Nicheai,2017,Hyderabad,artificial intelligence,early stage artificial intelligence (ai) start up.,Unknown,Undisclosed,0.0,Pre-Seed,2018,technology
Chariot Tech,2017,New Delhi,internet of things telecommunications,chariot tech is an internet of things (iot) startup based in new delhi.,Unknown,Undisclosed,20000000.0,Seed,2018,technology
Ideal Insurance Brokers/ 121Policy.Com,2017,Kolkata,insurance,ideal insurance broking is one of the leaders in insurance broking domain.,Unknown,Undisclosed,1000000.0,Seed,2018,financial services
Loanzen,2017,Bangalore,financial services,loanzen helps small businesses get unsecured working capital loans against their their pending invoices.,Unknown,Undisclosed,0.0,Seed,2018,fintech
Mojro Technologies,2017,Bangalore,information technology logistics supply chain management,mojro envisions to be the world's largest technology-enabled logistics platform.,Unknown,Undisclosed,650000.0,Seed,2018,technology
Elemential,2017,Mumbai,blockchain developer tools enterprise software,"blockchain development platform to design, run & scale blockchain networks.",Unknown,Undisclosed,1000000.0,Seed,2018,technology
Loadshare,2017,Bangalore,industrial automation logistics supply chain management,loadshare is india’s fastest growing logistics company,Unknown,Undisclosed,5000000.0,Series A,2018,technology
Yumlane,2017,Mumbai,food and beverage food delivery snack food,food startup yumlane operated by qwikpik technology,Unknown,Undisclosed,4000000.0,Series A,2018,food and beverages
Kriger Campus,2017,New Delhi,education,a education start up.,Unknown,Undisclosed,30000000.0,Seed,2018,education and training
Pipa+Bella,2017,Mumbai,ecommerce fashion jewelry retail,pipa+bella is an online store aimed at selling fashionable and affordable costume jewelry at par with international standards and trends,Unknown,Undisclosed,1000000.0,Series A,2018,technology
Kaleidofin,2017,Chennai,financial services,a fintech platform.,Unknown,Undisclosed,2800000.0,Seed,2018,fintech
Chakr Innovation,2017,New Delhi,renewable energy,chakr has developed the world’s first retro-fit emission control device for diesel generators.,Unknown,Undisclosed,0.0,Seed,2018,renewable energy
Indigolearn,2017,Hyderabad,elearning education,india's the premier education destination catering to the needs of aspiring students of the ca community.,Unknown,Undisclosed,150000.0,Seed,2018,technology
Uclean,2017,India,clean energy cleantech laundry and drycleaning,uclean is a tech enabled laundry service provider.,Unknown,Undisclosed,40000000.0,Seed,2018,technology
Coutloot,2017,Mumbai,ecommerce fashion mobile,the fashion re-commerce platform.,Unknown,Undisclosed,1000000.0,Seed,2018,technology
Letstrack,2017,New Delhi,apps messaging navigation public safety,"letstrack gps tracking devices to track your kids, bike, car and other vehicles. gps trackers for vehicle tracking system in india.",Unknown,Undisclosed,1700000.0,Seed,2018,technology and innovation
Pooltoo,2017,New Delhi,transportation,pooltoo offers a premium ride sharing platform.,Unknown,Undisclosed,0.0,Seed,2018,mobility and transportation
Finzy,2017,Bangalore,financial services lending,finzy is the premier peer to peer lending solution in india.,Unknown,Undisclosed,1300000.0,Seed,2018,fintech
Fitternity,2017,Mumbai,fitness health care wellness,india's largest online fitness platform that provides an integrated eco-system to help users start & sustain their fitness journey,Unknown,Undisclosed,2000000.0,Seed,2018,technology
Keito,2017,Pune,artificial intelligence machine learning saas virtual assistant,building an intelligent digital assistant.,Unknown,Undisclosed,0.0,Seed,2018,technology
Tolet For Students,2017,Jodhpur,hospitality,"reserve your room, hostel or paying guest, while relocating for higher education.",Unknown,Undisclosed,5000000.0,Seed,2018,technology
Chai Kings,2017,Chennai,food and beverage tea,chai kings is a tea retail chain,Unknown,Undisclosed,20000000.0,Seed,2018,food and beverages
Dainik Jagran,2017,Kanpur,media and entertainment news outdoors,dainik jagran is a media and communications group.,Unknown,Undisclosed,40000000.0,Seed,2018,technology
Playtoome,2017,Bangalore,broadcasting media and entertainment music music streaming video video streaming,playtoome is a live entertainment destination,Unknown,Undisclosed,20000000.0,Seed,2018,technology
Ongo Framework,2017,Hyderabad,b2b information services information technology,ongo framework is a b2b it and digital solution provider.,Unknown,Undisclosed,1000000.0,Pre-Seed,2018,technology
Notesgen,2017,New Delhi,edtech education enterprise software peer to peer,a global peer-to-peer and peer-to-group learning platform that helps students supplement their academic & competitive exam prep.,Unknown,Undisclosed,12500000.0,Seed,2018,technology
Arogya Medtech,2017,Kolkata,health care medical,arogya medtech is a research & development organization in bio-medical industry.,Unknown,Undisclosed,15000000.0,Seed,2018,technology
Propshop24,2017,Mumbai,e-commerce,"propshop24, a one-stop shop for a handpicked selection of 'fun'tastic products from around the world.",Unknown,Undisclosed,500000.0,Seed,2018,e-commerce
Myupchar,2017,New Delhi,health care hospital wellness,to bring health issues to people in their language.,Unknown,Undisclosed,5000000.0,Series A,2018,technology
Missmalini Entertainment,2017,Mumbai,other,"missmalini entertainment is a multi-platform new media network dedicated to entertaining, connecting & empowering young indians.",Unknown,Undisclosed,104000000.0,Seed,2018,Other
Rooter,2017,India,sports,rooter is a mobile-based platform,Unknown,Undisclosed,45000000.0,Seed,2018,sports technology
Zestmoney,2017,Bangalore,big data consumer lending fintech,zest is india's first completely automated consumer digital lending platform.,Unknown,Undisclosed,13400000.0,Series A,2018,technology
Alphaics Corporation,2017,Bangalore,cloud computing computer semiconductor,advancing ai compute,Unknown,Undisclosed,0.0,Seed,2018,technology
Mydentistchoice,2017,Hyderabad,health care medical pharmaceutical,mydentistchoice is a direct sales and distribution of dental equipment and accessories from top name manufacturers,Unknown,Undisclosed,500000.0,Seed,2018,technology
Sattviko,2017,New Delhi,food processing retail,sattviko fosters wellness and shares indianness through the sattvik way of cooking that is wholesome and tasty!,Unknown,Undisclosed,0.0,Pre-Seed,2018,technology
Sensibull,2017,Bangalore,trading platform,investment management platform,Unknown,Undisclosed,25000000.0,Seed,2018,financial services
Bombay Shaving Company,2017,New Delhi,consumer goods lifestyle mens,bombay shaving company is a men's grooming startup,Unknown,Undisclosed,0.0,Series A,2018,consumer goods and services
Medcords,2017,Pune,health wellness,medcords is india’s first holistic healthcare ecosystem on a cloud platform that makes health management easier,Unknown,Undisclosed,26400000.0,Seed,2018,beauty and wellness
University Living,2017,New Delhi,education,university living is an online global student housing marketplace.,Unknown,Undisclosed,0.0,Seed,2018,education and training
&Me,2017,Bangalore,food and beverage food processing nutrition,food and beverage startup focussing on developing products using ayurveda with modern science for women empowerment and fitness.,Unknown,Undisclosed,0.0,Seed,2018,technology
Enakshi,2017,Ahmedabad,fashion,enakshi is an online apparel brand for women.,Unknown,Undisclosed,8000000.0,Seed,2018,design and creative industries
Ultraviolette Automotive,2017,Bangalore,automotive electric vehicle energy storage,ultraviolette is a startup working on electric two-wheelers and energy infrastructure.,Unknown,Undisclosed,60000.0,Series A,2018,mobility and transportation
Inthree Access,2017,Chennai,consulting retail social,inthree access is an impact venture that connects the most inaccessible rural markets with products that can transform lives in rural india.,Unknown,Undisclosed,4000000.0,Series A,2018,technology
Bugworks Research India,2017,Bangalore,biotechnology life science pharmaceutical product research,bugworks is a drug discovery company.,Unknown,Undisclosed,9000000.0,Series A,2018,technology
Guardian.In,2017,Mumbai,health wellness,gnc is a leading global specialty retailer of health and wellness products that takes pride to be the world's largest company,Unknown,Undisclosed,0.0,Seed,2018,beauty and wellness
Prestloans,2017,New Delhi,credit financial services fintech personal finance,"prestloans new age tech driven rbi regd nbfc helping businesses by providing easy, quick n hassle free loans.",Unknown,Undisclosed,100000.0,Seed,2018,technology
Wimoxez,2017,Hyderabad,internet,"data intelligence publishing platform, we bring the best resources to learn valuable technologies which will shape tomorrow.",Unknown,Undisclosed,20000.0,Seed,2018,technology
India Accelerator,2017,Gurgaon,property,india accelerator runs mentorship-driven incubation and acceleration programs for start ups.,Unknown,Undisclosed,0.0,Pre-Seed,2018,real estate
Happyemi,2017,Bangalore,consumer financial services fintech,happyemi is a point of sale digital lending platform that helps consumers finance their purchases in-store and online,Unknown,Undisclosed,1000000.0,Seed,2018,technology
Wishup,2017,Azadpur,consumer applications information services location based services virtual assistant,premium personal assistance service,Unknown,Undisclosed,0.0,Seed,2018,technology
Hansel.Io,2017,Bangalore,mobile mobile apps personalization test and measurement web apps,"hansel, a mobile app management platform, provides the infrastructure that companies need, in order to personalize product experiences.",Unknown,Undisclosed,4000000.0,Series A,2018,technology
Propelld,2017,Bangalore,education financial services fintech,propelld is a student education financing platform.,Unknown,Undisclosed,250000.0,Seed,2018,technology
Pivotroots,2017,Mumbai,advertising consulting digital marketing,digital marketing powered by data & technology; fueled by design thinking,Unknown,Undisclosed,0.0,Series A,2018,technology
Ziffyhomes,2017,New Delhi,marketplace real estate rental property,ziffyhomes is a technology driven marketplace to find out home on rent.,Unknown,Undisclosed,120000.0,Seed,2018,technology
Carmesi,2017,Gurgaon,health wellness,carmesi is a brand of high-end menstrual-hygiene products in india.,Unknown,Undisclosed,34000000.0,Seed,2018,beauty and wellness
Ockypocky,2017,Haryana,elearning internet video games,ockypocky is a interactive and personalised language learning app for preschool kids.,Unknown,Undisclosed,0.0,Pre-Seed,2018,technology
Racetrack,2017,Bangalore,artificial intelligence cloud computing video,"racetrack is a sales and support-focused ai-driven platform designed for education, real estate, and e-commerce sectors.",Unknown,Undisclosed,342000000.0,Seed,2018,technology
Whr,2017,Pune,health care information technology,"whr is to make affordable healthcare a reality for all. our vision is to make healthcare services easier, better and more accessible.",Unknown,Undisclosed,143145.0,Seed,2018,technology
Asteria Aerospace,2017,Bangalore,aerospace,asteria aerospace is a robotics and artificial intelligence company.,Unknown,Undisclosed,0.0,Seed,2018,mobility and transportation
Faballey,2017,Noida,ecommerce fashion lifestyle,"faballey is the ultimate indian fashion destination for fashion-forward, indie-chic girls. founded in 2012, tanvi malik and shivani poddar",Unknown,Undisclosed,600000000.0,Series B,2018,e-commerce
Tranzmeo,2017,Cochin,artificial intelligence business intelligence industrial automation machine learning,tranzmeo connect : is a complete comprehensive anomaly forensic solution with actionable insights.,Unknown,Undisclosed,0.0,Pre-Seed,2018,technology
Sbi Life,2017,Mumbai,insurance,sbi life is one of the life insurance company that offers a range of life insurance plans and policies to protect you and your family.,Unknown,Undisclosed,742000000.0,PE,2018,financial services
Studds Accessories,2017,Faridabad,e-commerce,studds accessories is a scooter accessories service provider in india,Unknown,Undisclosed,1000000000.0,PE,2018,e-commerce
Design Cafe,2017,Bangalore,home decor home improvement home renovation home services interior design smart home,"design + execution organization that delivers beautiful & innovative designs for home interiors, in any budget.",Unknown,Undisclosed,2000000000.0,Series B,2018,technology
Nopaperforms Solutions Pvt. Ltd.,2017,New Delhi,edtech education information services saas,"nopaperforms is a marketing automation, lead nurture and enrolment management platform for educational institutions",Unknown,Undisclosed,3980000.0,Series B,2018,technology
Rays Power Infra,2017,Jaipur,energy solar,rays power infra is a leading integrated solar power company.,Unknown,Undisclosed,2000000000.0,Venture,2018,technology
Authmetrik,2017,Gurgaon,b2b biometrics cyber security fraud detection saas security,"saas, b2b, security, stop account sharing, fraud detection",Unknown,Undisclosed,10000.0,Grant,2018,technology
Khidki,2017,Bangalore,artificial intelligence social,vernacular social network focused on town level content and interactions,Unknown,Undisclosed,0.0,Seed,2018,technology
Letstransport,2017,Bangalore,logistics transportation travel,lets transport is a logistics solution provider.,Unknown,Undisclosed,1000000000.0,Series B,2018,mobility and transportation
Next Digital Solutions,2017,Kota,digital marketing sem seo web development,next digital solutions is website design & digital marketing development company.,Unknown,Undisclosed,100000.0,Pre-Seed,2018,technology
Portea Medical,2017,Bangalore,health care hospital medical,portea medical is the largest and fastest growing provider of in-home medical care in india today with a 24-city network.,Unknown,Undisclosed,250000000.0,Debt,2018,technology
Aavas Financiers,2017,Jaipur,finance financial services,"aavas financiers is engaged in the business of providing housing loans, primarily in the un-served, unreached and under-served market.",Unknown,Undisclosed,2000000000.0,Post-IPO,2018,fintech
Swiggy,2017,Bangalore,food delivery food processing internet,swiggy is a food ordering and delivery company that provides food service solutions for restaurants.,Unknown,Undisclosed,1000000000.0,Series H,2018,technology
Milkbasket,2017,Haryana,ecommerce food and beverage internet,"milkbasket delivers milk, bread, eggs, butter, juices and other daily need items, every morning, right at your doorstep, free of charge.",Unknown,Undisclosed,7000000.0,Series A,2018,technology
Nutrisattva (Proliva),2017,Anand,fitness food and beverage health care nutrition,nutrisattva is a protein innovation compan,Unknown,Undisclosed,0.0,Pre-Seed,2018,technology
Toppr,2017,Mumbai,edtech education knowledge management,toppr.com is an online preparation platform for entrance exams in india.,Unknown,Undisclosed,35000000.0,Series C,2018,technology
Jagaran Microfin,2017,Kolkata,other,jagaran microfin is a microfinance institution which achieves a healthy amalgamation of social and financial,Unknown,Undisclosed,550000000.0,Debt,2018,Other
Vivriti Capital,2017,Chennai,financial services,vivriti capital is an online platform for institutional debt in india.,Unknown,Undisclosed,28500000.0,Venture,2018,fintech
Be U Salons,2017,New Delhi,apps beauty consumer retail,be u is india's first subscription based salon chain.,Unknown,Undisclosed,30000000.0,Seed,2018,technology
Impact Guru,2017,Mumbai,creative agency crowdfunding edtech health care internet medical non profit personal health,"we're a harvard incubated crowdfunding platform for nonprofits, social enterprises, startups and individuals.",Unknown,Undisclosed,2000000.0,Series A,2018,technology
Mobikwik,2017,Gurgaon,consumer lending financial services fintech insurance lending mobile payments payments wealth management,mobikwik is a payments backed fintech platform in india. mobikwik app offers instant loans & investment products to the 500m masses of india,Unknown,Undisclosed,240000000.0,Series E,2018,technology
Stones2Milestones,2017,Gurgaon,elearning education higher education,stones2milestones is a gurgaon based learning company.,Unknown,Undisclosed,0.0,Seed,2018,technology
Generico,2017,Mumbai,health care medical pharmaceutical,generico is the fastest growing specialized pharmacy retail chain of generic medicines.,Unknown,Undisclosed,0.0,Series A,2018,technology
Adiuvo Diagnostics,2017,Chennai,health diagnostics,adiuvo diagnostics is a medical diagnostic device company based in india.,Unknown,Undisclosed,0.0,Seed,2018,healthcare
Datatrained,2017,Bangalore,edtech education,"datatrained is a educational platform, which operates an ed-tech startup on data science",Unknown,Undisclosed,120000000.0,Seed,2018,technology
Oneassist,2017,Mumbai,financial services saas security,oneassist is a protection & assistance services platform.,Unknown,Undisclosed,2400000.0,Debt,2018,technology
Satin Creditcare Network Limited (Scnl),2017,New Delhi,banking finance financial services non profit,satin is a non-banking finance company providing individual loans to urban shopkeepers.,Unknown,Undisclosed,30000000.0,Post-IPO,2018,technology
Apac Financial Services,2017,Mumbai,finance financial services,apac financial services is a financial services platform.,Unknown,Undisclosed,2500000000.0,PE,2018,fintech
Moglix,2017,Noida,b2b ecommerce mobile,"moglix is a supplier of industrial tools like hand tools, power tools, electrical, and safety equipment.",Unknown,Undisclosed,23000000.0,Series C,2018,technology
Sedemac Mechatronics,2017,Mumbai,automotive electric vehicle renewable energy,sedemac mechatronics is technology company that distributes control-intensive products for automobiles.,Unknown,Undisclosed,0.0,Venture,2018,renewable energy
Madguy Labs,2017,Hyderabad,education,madguy labs is a online test-prep platform.,Unknown,Undisclosed,150000.0,Venture,2018,education and training
Dee Dee Labs,2017,Pune,embedded systems health care medical product research,dee dee labs is design and development lab with a primary focus on the development of next generation of bionic prostheses.,Unknown,Undisclosed,0.0,Seed,2018,technology
Fleeca,2017,Jaipur,other,fleeca is a tyre care provider company.,Unknown,Undisclosed,0.0,Seed,2018,Other
Shop101,2017,Mumbai,apps ecommerce internet,#1 online selling app. india’s leading social commerce platform. setup free online store in 2 min. sell own goods or resell shop101 supply.,Unknown,Undisclosed,11000000.0,Series B,2018,technology
Feedmypockets,2017,Bangalore,advertising human resources marketing,on demand staffing platform,Unknown,Undisclosed,44000000.0,Seed,2018,technology
Housejoy,2017,Bangalore,beauty fitness home services internet,housejoy is a web-based platform that allows individuals to browse and book service providers for their homes.,Unknown,Undisclosed,3240000.0,Series B,2018,technology
Ambee,2017,Bangalore,health care medical device public safety,ambee is an environment analytics startup.,Unknown,Undisclosed,0.0,Pre-Seed,2018,technology
Foodbuddy,2017,Belgaum,food delivery online portals restaurants,"foodbuddy is a online food delivery portal, providing boundary breaking delivery.",Unknown,Undisclosed,60000000.0,Seed,2018,food and beverages
Ninjacart,2017,Bangalore,agtech b2b supply chain management,ninjacart is a b2b agri-marketing platform that connects vegetables and fruits farmers directly with businesses.,Unknown,Undisclosed,2500000000.0,Series B,2018,technology
Olly Smart Credit Card,2017,New Delhi,credit cards finance mobile apps mobile payments payments,olly is a digital credit card for india's working masses and young people.,Unknown,Undisclosed,0.0,Seed,2018,technology
Zestl,2017,Pune,software,"no-code workflow automation. build enterprise applications in days with ai, cognitive automation, collaboration and more built in.",Unknown,Undisclosed,0.0,Seed,2018,technology
Byju’S,2017,Bangalore,edtech education higher education secondary education,byju’s is an edtech company that is reinventing how students learn through its learning app.,Unknown,Undisclosed,540000000.0,PE,2018,technology
Wakefit,2017,Bangalore,manufacturing retail,wakefitkart is a mattress manufacturing company. we manufacture the best quality mattresses at affordable prices.,Unknown,Undisclosed,650000000.0,Venture,2018,technology
Hero Electric,2017,New Delhi,manufacturing,"hero electric, a 100% subsidiary of the hero group, is a pioneer in the indian electric vehicle industry.",Unknown,Undisclosed,1600000000.0,Venture,2018,technology
Pentation Analytics,2017,Mumbai,information services information technology insurtech,pentation as an insurtech enables insurers and intermediaries with our insurance analytics suite- an insurance specific ai/ml software suite,Unknown,Undisclosed,0.0,Seed,2018,technology
Perkfinance,2017,Bangalore,consumer lending fintech,perkfinance partners with employers to provide affordable loans to their employees at no cost to the company,Unknown,Undisclosed,900000.0,Seed,2018,technology
Roposo,2017,Gurgaon,internet social network tv,roposo - tv by the people is a unique social media platform where people express visually with homemade videos and photos.,Unknown,Undisclosed,10000000.0,Series C,2018,technology
Plum Goodness,2017,Thane,beauty health care,plum haircare is silicone-free & sulphate-free. designed for damaged & dandruff-free hair,Unknown,Undisclosed,0.0,Series A,2018,technology
Drstore,2017,Mumbai,hospital,drstore is a exclusive e- commerce platform.,Unknown,Undisclosed,0.0,Seed,2018,technology
Wow Venue,2017,Mumbai,events,wow venue is an online platform.,Unknown,Undisclosed,1500000.0,Venture,2018,events and entertainment
Chizel,2017,Pune,3d printing manufacturing product design,chizel is a worlds most advanced cloud platform for on-demand manufacturing in 3d printing and cnc machining,Unknown,Undisclosed,0.0,Seed,2018,technology
Oto Capital,2017,Mumbai,automotive,oto capital is a platform that allows you to own a car faster than ever.,Unknown,Undisclosed,50000000.0,Seed,2018,mobility and transportation
Boodmo,2017,Gurgaon,automotive retail,boodmo.com - large online marketplace for auto parts in india.,Unknown,Undisclosed,70000000.0,Seed,2018,technology
Khabri,2017,Haryana,apps audio,khabri is a digital audio platform for content in vernacular.,Unknown,Undisclosed,0.0,Seed,2018,technology and innovation
Mynewcar.In,2017,Gurgaon,automotive ecommerce,mynewcar.in offers new cars at best price with great deals. book a new car online or request a doorstep test drive,Unknown,Undisclosed,1000000.0,Venture,2018,e-commerce
Halaplay Technologies,2017,Bangalore,digital entertainment fantasy sports sports,a daily fantasy sports platform.,Unknown,Undisclosed,5000000.0,Series A,2018,technology
Planetspark,2017,Gurgaon,elearning edtech education,planetspark is an after-school maths and english learning program for pre teen kids between grades 2nd to 7th.,Unknown,Undisclosed,16000000.0,Seed,2018,technology
Wheelsemi,2017,Pune,other,"wheelsemi is the brand name of nbfc, wheelsemi pvt. ltd.",Unknown,Undisclosed,14000000.0,Series B,2018,Other
Forum For Innovation Incubation Research And Entrepreneurship,2017,Margão,funding platform incubators non profit,"fiire, a technology business incubator helps the startup process to move from the garage to the lab.",Unknown,Undisclosed,102500000.0,Grant,2018,technology
Oyo,2017,Gurgaon,hospitality hotel leisure travel,oyo is an indian hospitality startup that operates a network of budget hotels.,Unknown,Undisclosed,100000000.0,Series E,2018,technology
Quikr,2017,Bangalore,classifieds internet marketplace rental property,"quikr is a free classifieds and online marketplace that helps users sell, buy, rent, or discover anything across india.",Unknown,Undisclosed,550000000.0,Debt,2018,technology
Tabono,2017,Gurgaon,sports,tabono is a one stop environment for all your fitness solution.,Unknown,Undisclosed,0.0,Seed,2018,sports technology
Learnapp,2017,Noida,banking elearning trading platform,"learnapp.co - video courses & live classes in investing, trading, banking and finance.",Unknown,Undisclosed,20000000.0,Seed,2018,technology
Shopkirana,2017,Indore,ecommerce mobile retail,shopkirana connects brands and traditional retailers with the help of technology and supply chain innovation.,Unknown,Undisclosed,2000000.0,Venture,2018,technology
Fric Bergen,2017,Alwar,other,fric bergen is a leader in the specialty food industry.,Unknown,Undisclosed,0.0,Venture,2018,Other
Articbot,2017,Kannur,artificial intelligence information technology,articbot is a conversational ai platform for automated customer support and lead generation,Unknown,Undisclosed,1200000.0,Grant,2018,technology
Buildsupply,2017,Gurgaon,enterprise resource planning erp information services information technology real estate,india’s most advanced erp system for the real estate,Unknown,Undisclosed,250000000.0,Series A,2018,technology
Fusion Microfinance,2017,New Delhi,banking finance financial services,fusion microfinance pvt. ltd. is an nbfc registered with rbi,Unknown,Undisclosed,5200000000.0,Series E,2018,fintech
Any Time Doctor,2017,Chennai,software,anytime doctor is a software company.,Unknown,Undisclosed,0.0,Pre-Seed,2018,technology
Go Payments,2017,Mumbai,information services information technology,go payments was founded with the mission of assisting consumers with performing a whole host of financial services at their doorstep.,Unknown,Undisclosed,0.0,Other,2018,technology
Guiddoo World,2017,Mumbai,audio mobile tourism travel,we build in-destination experiences!,Unknown,Undisclosed,800000.0,Seed,2018,technology
Ion Energy,2017,Mumbai,energy energy storage infrastructure,a stealth startup building a layer of infrastructure for highly efficient energy storage systems.,Unknown,Undisclosed,1041000.0,Venture,2018,renewable energy
Unotag,2017,Bangalore,artificial intelligence,saas to verify counterfeit,Unknown,Undisclosed,100000.0,Pre-Seed,2018,technology
Civilcops,2017,Gurgaon,government information technology software,gov-tech,Unknown,Undisclosed,100000.0,Pre-Seed,2018,technology
Rockmetric,2017,Mumbai,information technology,"smarter analytics to understand how each customer uses your product. drive growth in conversion, retention and engagement.",Unknown,Undisclosed,0.0,Grant,2018,technology
Classworks India,2017,Chennai,education information technology internet mobile software,"saas, web app, mobile app, school education",Unknown,Undisclosed,100000.0,Other,2018,technology
Snapmint,2017,Mumbai,consumer lending financial services lending personal finance,"snapmint facilitates simplified, fairly-priced and hassle-free emi options without a credit card.",Unknown,Undisclosed,0.0,Seed,2018,fintech
Artbandhu,2017,Bangalore,digital media internet media and entertainment online portals social media,ai platform for art and creative community,Unknown,Undisclosed,15000.0,Pre-Seed,2018,technology
Survaider,2017,Bangalore,business intelligence customer service market research saas,stethoscope for customer feedback !,Unknown,Undisclosed,500000.0,Seed,2018,technology
Credy,2017,Bangalore,credit financial services fintech lending,credy is a fintech platform that connects borrowers seeking capital with lenders seeking market beating returns.,Unknown,Undisclosed,1400000.0,Seed,2018,technology
Ichamp,2017,Gurgaon,education,ichamp is an e education innovation product from rnm e-services pvt ltd.,Unknown,Undisclosed,5000000.0,Seed,2018,education and training
Qandle,2017,Gurgaon,software,a cloud-based hr management and employee engagement platform.,Unknown,Undisclosed,1200000.0,Seed,2018,technology
Avishkaar Box,2017,Delhi,children education parenting,"avishkaar box is just not another box full of material rather it is a well researched, thought through solution",Unknown,Undisclosed,50000000.0,Seed,2018,technology
Gegadyne Energy,2017,Mumbai,automotive battery energy energy storage,a mumbai-based startup electric vehicle (ev) & energy storage company.,Unknown,Undisclosed,0.0,Pre-Seed,2018,mobility and transportation
